ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
0-374-18405-4,Last Things,"Offill, Jenny",Farrar Straus & Giroux,263,1999,"Ornithologists, Ornithologists--Fiction, Girls, Girls--Fiction, Missing persons, Missing persons--Fiction, Families, Families--Fiction, PS3565.F383 L37 1999, 813/.54",Hardcover,Jenny Offill.,en,First Edition,"Height: 8.25 Inches, Length: 5.25 Inches, Weight: 0.7 Pounds, Width: 1.25 Inches",23,https://images.isbndb.com/covers/40/56/9780374184056.jpg,Success
0-88961-230-7,Scratching the Surface Canadian Anti-Racist Feminist Thought,,Women's Press (CA),400,1999-07-01,"Minority women--Social conditions, Minority women--Canada--Social conditions, Sex discrimination against women, Sex discrimination against women--Canada, Racism, Racism--Canada, Feminist theory, Feminist theory--Canada, Race relations, HQ1453 .S37 1999, 305.48/8/00971",Paperback,"This collection of articles covers a broad range of topics: the impact of colonialism and its associated discourse on First Nations and other groups of colonized women; racism in the Canadian labor movement; the impact of globalization on women of color; the ways in which the institution of the nuclear family shapes racism; sexism in communities of color; and the response of the Canadian women's movement to creating an anti-racist praxis. The book not only offers exciting new insights into how women of color experience Canadian society, but also provides the instructor a textbook that integrates anti-racist and feminist approaches.",en,First Edition,"Height: 8.54 Inches, Length: 6.62 Inches, Weight: 1.0361726314 Pounds, Width: 0.7 Inches",1.99,https://images.isbndb.com/covers/23/03/9780889612303.jpg,Success
0-553-57587-2,Sign of Foul Play,"Warner, Penny",Crimeline,288,1997-12-01,,Mass Market Paperback,,en,First Edition,"Height: 7 Inches, Length: 4.5 Inches, Weight: 0.35 Pounds, Width: 0.75 Inches",5.5,https://images.isbndb.com/covers/58/73/9780553575873.jpg,Success
0-921881-52-5,Consciousness Rising: Women's Stories of Connection and Transformation,,Gynergy Books,287,1999-05-01,,Paperback,,en,Enlarged ed.,"Height: 8.48 Inches, Length: 5.56 Inches, Weight: 0.84216584084 Pounds, Width: 0.69 Inches",24.95,https://images.isbndb.com/covers/15/20/9780921881520.jpg,Success
1-892096-33-1,Like Breathing,"Rollins, Ricc",Ishai Creative Group Inc,266,1998-12-06,,Paperback,,en,,Weight: 5.55 Pounds,14,https://images.isbndb.com/covers/63/33/9781892096333.jpg,Success
1-56341-106-7,Bruised Fruit: A Novel,"Livia, Anna",Firebrand Books,240,1999-03-01,Fiction,Paperback,"Anna Livia's Astringently Humorous, No-holds-barred Novel, Bruised Fruit, Is The Story Of British Caroline, Lesbian Escapee From An Abusive Relationship; Sydney, Dainty Hermaphrodite With A Southern Drawl; And Patti, Bisexual With A Trust Fund Who Inexorably, It Seems, Kills Every M An She Sleeps With. These Three, Along With A Tantalizing Array Of Minor Characters, Are Thrown Together In San Francisco, Each In Search Of Someone To Tell His Or Her--or In The Case Of Sydney, His And Her--secrets To. When Fate Gathers Them At The Home Of Ella Weissman, A Feminist Therapist Whose House Is Her Significant Other, The Intertwined Tale Of Their Loves, Fears, And Confusions Sinuously Unfolds. Caroline Is Continually Shocked By Exposure To Her Own Tales Of The City. Sydney Feels Compelled, Once And For All, To Pick A Gender. Patti Wants To Be Sexually Attractive Without Giving In To Everyone Else's Desire ... And Its Negative Effects. Written As A Mixture Of Chilling Comedy And Neogothic, Bruised Fruit Is Anna Livia's Fifth Novel.--publisher. Anna Livia.",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.66 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/10/69/9781563411069.jpg,Success
1-56280-236-4,Both Sides,Saxon Bennett,Naiad Pr,192,1999,,Paperback,,en,First Edition,"Height: 9 Inches, Length: 0.75 Inches, Weight: 0.4 Pounds, Width: 6 Inches",11.95,https://images.isbndb.com/covers/23/63/9781562802363.jpg,Success
1-56584-534-X,Racism Explained to My Daughter,"Ben Jelloun, Tahar","New Press, The",207,1999-06-01,"Racism, Race awareness in children, Prejudices in children, HT1521 .B39813 1999, 305.8",Hardcover,Racism Explained To My Daughter / Tahar Ben Jelloun -- Racism Explained To My Son / Patricia Williams -- Explaining Racism To My Daughter / David Mura -- To The Bone: Reflections In Black And White / William Ayers -- A Letter To My Daughter On The Occasion Of Considering Racism In The United States / Lisa D. Delpit. Tahar Ben Jelloun ; With Responses By William Ayers ... [et Al.] ; Introduction By Bill Cosby. Rev. Translation Of: Racisme Expliqué à Ma Fille.,en,First Edition,"Height: 7.56 Inches, Length: 5.29 Inches, Weight: 0.64 Pounds, Width: 0.84 Inches",0.00,https://images.isbndb.com/covers/53/43/9781565845343.jpg,Success
0-688-16530-3,The Color of Our Future : Our Multiracial Future,"Chideya, Farai",William Morrow & Co,273,1999,,Hardcover,"Chideya Examines How Young Adults Deal With Race And The Impact This Has On American Culture. Pt. 1. New Face Of Race -- Ch. 1. Race Right Now -- Pt. 2. Race Is Place -- Ch. 2. Other: The Future Of Mixed-race Identity -- Ch. 3. Back To Antebellum: An Interracial Couple In The Old South -- Ch. 4. Hip-hop In The Heartland: Mtv As Cultural Common Denominator -- Ch. 5. Nation Within A Nation: Native Americans -- Ch. 6. Perfect Diversity In An Imperfect World -- Pt. 3. Political As Personal -- Ch. 7. Good Kids And Bad Schools: The Black And Brown Future Of America's Urban Schools -- Ch. 8. End Of Affirmative Action -- Ch. 9. Border Blues: Mexican Immigration And Mexican-american Identity -- Pt. 4. Predictions And Prescriptions -- Ch. 10. Toward A More Perfect Union: Ideas, Projections, And Solutions. Farai Chideya. Includes Bibliographical References (p. 263-273).",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.25 Pounds, Width: 1.25 Inches",23,https://images.isbndb.com/covers/53/07/9780688165307.jpg,Success
0-553-11093-4,O Jerusalem,"King, Laurie R.",Bantam,384,1999-06-01,"Russell, Mary , 1900-, Holmes, Sherlock, Women detectives, Women detectives--England--Fiction, PS3561.I4813 O15 1999, 813/.54",Hardcover,"In 1919, Sherlock Holmes And His Future Wife Mary Russell Are Smuggled Into Palestine Under Cover Of Darkness. Disguised As Arabs They Foil A Turkish Plot To Regain Control Of Jerusalem From The British. By Laurie R. King.",en,First Edition,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.3999353637 Pounds, Width: 1.5 Inches",23.95,https://images.isbndb.com/covers/09/37/9780553110937.jpg,Success
0-15-600634-0,The Flower in the Skull,"Alcala, Kathleen",Harvest Books,192,1999-06-03,,Paperback,,en,First Paperback Edition,"Height: 0.4 Inches, Length: 7.85 Inches, Weight: 0.5 Pounds, Width: 5.22 Inches",14.95,https://images.isbndb.com/covers/63/47/9780156006347.jpg,Success
1- -5 56 63 3,,,,,,,,,,,,,,Error
00-328-8411 1,,,,,,,,,,,,,,Error
0-8166-3262-6,Home Movies and Other Necessary Fictions (Volume 4) (Visible Evidence),"Citron, Michelle",Univ Of Minnesota Press,216,1998-11-09,"Childhood and youthCitron, Michelle, Women authors, American--Family relationships, Women authors, American--20th century--Family relationships, Families, Families--United States--Fiction, Domestic fiction, American, Social life and customs, PS3553.I866 H66 1998, 813/.5409",Paperback,Michelle Citron. Includes Bibliographical References (p. 209-210).,en,First Edition,"Height: 10 Inches, Length: 7 Inches, Weight: 1.07 Pounds, Width: 0.6 Inches",23.5,https://images.isbndb.com/covers/26/26/9780816632626.jpg,Success
0-8078-4812-3,Rank Ladies: Gender and Cultural Hierarchy in American Vaudeville (Gender and American Culture),"Kibler, M. Alison",The University of North Carolina Press,288,1999-05-31,,Paperback,"<p><br>An illuminating study of vaudeville, this book shows how women&#151;as performers, patrons, and workers&#151;influenced its rise and fall as America's favorite form of live entertainment.</p> <h3>Library Journal</h3> <p>These two volumes examine the historical impact of women in the entertainment industry, offering perceptive comments about American culture in the process. Sochen (history, Northeastern Illinois Univ.) divides performers into various groups: black women vaudevillians, bawdy women entertainers, the entertainer as reformer, child stars, and women comics, to name a few. She examines a potpourri of stars within these contexts, including the details of their careers, the obstacles they encountered, their personal histories, their impact on the public, and their relevance to the eras in which they performed. Many were symbolic of Eve (the seductress), Mary (sweet and innocent), or Lillith (the career woman), while others violated these conventional female boundaries. Katharine Hepburn, Bette Davis, Ethel Waters, Mae West, Eva Tanguay, Shirley Temple, Dinah Shore, and Roseanne Barr are among those discussed. Popular entertainment collections should find this work useful. Rank Ladies, on the other hand, focuses more exclusively on women in vaudeville, discussing their history, specialties, difficulties, and triumphs as well as their place in society in the early part of this century. Women performers gradually introduced more complex elements to the vaudeville stage--e.g., classical music, satire, theatrical adaptations, and inventive material--that challenged previous standards. Curiously, this produced a mix that was at once successful, provocative, and threatening, changing the composition of audiences, the philosophies of theater managers, the texture of the vaudeville art form, and the nature of the entertainers' work environment. Kibler (Ctr. for Women's Studies, Australian National Univ.) has done an impressive job not only of researching her subject but also of fluidly weaving it into a valuable and entertaining narrative from which she draws perceptive insights and conclusions on the culture of the time that are relevant in any age. For scholarly audiences and those interested in early 20th century American culture.--Carol J. Binkowski, Bloomfield, NJ Copyright 1999 Cahners Business Information.</p>",en,New edition,"Height: 9.25 Inches, Length: 6.12 Inches, Weight: 1.0912881969 Pounds, Width: 0.68 Inches",27.5,https://images.isbndb.com/covers/81/28/9780807848128.jpg,Success
0-609-80155-4,"The Complete Book of Fitness: Mind, Body, Spirit","Fitness Magazine, Andes, Karen",Three Rivers Press,480,1998-12-29,,Paperback,"<p>from The Expert Editors Of Fitness Magazine, Here Is Everything You Need To Know About Exercise, Nutrition, And Well-being In One Comprehensive Volume, <i>the Complete Book Of Fitness</i>. Hundreds Of Entries Are Organized Alphabetically In Four Sections&#58;<br><br><ul><li>strength Training Offers Effective, Illustrated Workouts For Every Muscle Group.<br><li>cardiovascular Training Includes Invaluable Information On Fat-burning And Metabolism.<br><li>diet And Nutrition Demystifies Eating For Health, Strength, And Athletic Performance.<br><li>wellness Provides An Introduction To Alternative Therapies And Healing, Rounding Out Your Total Fitness Package Of Mind, Body, And Spirit.</ul><br><br>so Whether You Want To Flatten Your Abs Or Firm Your Thighs, You're Looking For A Stretching Routine Or Cross-training Ideas, You Want To Carbo-load Or Unload A Few Pounds, Or If You Wish To Increase Your Energy Or Reduce Your Stress, Finding The Answers Is Literally As Easy As A-b-c. Clearly Written For The Layperson, The Complete Book Of Fitness Serves As A Primer On Fitness Basics, From Biceps To Water Aerobics, From Antioxidants To Yoga. Packed With Easy-to-access Information, It Is Also A Gym Bible And Can Be Used To Customize A Detailed Fitness Regimen To Suit Any Lifestyle And Body Type.<br><br>this First-of-its-kind Fitness Encyclopedia Is A Must-have For Every Health-conscious Household.</p> <h3>school Library Journal</h3> <p>ya-a Wellness Guide That Will Appeal Especially To Young Women. It Is A Broadly Conceived And Highly Readable Resource, Presented In An Oversized Format With Bold Headings, Large Type, And Clear Drawings Of Exercises. The Material Is Organized Into Four Major Categories: Strength Training, Cardiovascular Training, Diet And Nutrition, And, Lastly, Wellness. Within Each Section The Topics Are Alphabetically Arranged, Which Has Its Drawbacks-subjects That Go Together Logically Don't Appear Consecutively. However, The Index Is Thorough And There Is Extensive Cross-referencing Throughout. The Book Has The Light-handed Writing Style Of Fitness Magazine Articles; Nonetheless, It Reflects The Current Medical Thinking While Including Such Hot Topics As Vegetarianism, Chinese Medicine, Homeopathy, Tai Chi And Chi Kung, Burning Fat, Cross Training, And Aromatherapy. The Editors Have Included Essays On Body Image, Osteoporosis, Women And Muscle, Special Medical Conditions And Working Out, Pregnancy And Exercise, And A Woman's Body Passages. There Are Ample Charts That Show The Muscles Worked During A Particular Exercise, Nutrients And What They Do, How To Calculate Body-mass Index, Minerals And What They Do, And Target Heart Rates.-cynthia J. Rieben, W. T. Woodson High School, Fairfax, Va Copyright 1999 Cahners Business Information.</p>",en,1,"Height: 9.25 Inches, Length: 8 Inches, Weight: 1.75 Pounds, Width: 1.25 Inches",25.95,https://images.isbndb.com/covers/15/50/9780609801550.jpg,Success
0-8147-5799-5,"Within the Veil: Black Journalists, White Media","Newkirk, Pamela",NYU Press,253,2000-07-01,"African Americans in the newspaper industry, African American journalists, African American journalists--Biography, African Americans--Press coverage, PN4882.5 .N49 2000, 070/.89/96073",Hardcover,"In Within The Veil, Pamela Newkirk Unmasks The Ways In Which Race Continues To Influence Reportage, Both Overtly And Covertly. Newkirk Charts A Series Of Race-related Conflicts At News Organizations Across The Country, Illustrating How African American Journalists Have Influenced - And Been Denied Influence To - The Content, Presentation, And Very Nature Of News. Through Anecdotes Culled From Interviews With Over 100 Broadcast And Print Journalists, Newkirk Exposes The Trials And Triumphs Of African American Journalists As They Struggle In Newsrooms Across America In Pursuit Of More Equitable Coverage Of Racial Minorities. She Illuminates The Agonizing Dilemmas African American Journalists Face When Writing Stories Critical Of Blacks, Stories Which Force Them To Choose Between Journalistic Integrity, Their Own Advancement, And The Almost Certain Enmity Of The Black Community.--jacket. 1 Within The Veil 1 -- 2 Into The Mainstream: A History Of Strife 38 -- 3 The Bumpy Road Into The Newsroom 69 -- 4 Slaying The Dragon 97 -- 5 Private Dilemmas, Public Strife 136 -- 6 Double Standards And The Double-special Burden 161 -- 7 The Kerner Legacy 191. Pamela Newkirk. Includes Bibliographical References (p. 225-235) And Index.",en,First Edition,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.25002102554 Pounds, Width: 0.8125968 Inches",0.00,https://images.isbndb.com/covers/79/94/9780814757994.jpg,Success
0-8050-6201-7,Flat-footed Truths Reading Guide: Telling Black Women's Lives,"Bell-Scott, Patricia, Johnson-Bailey, Juanita, Gillespie, Marcia Ann","Henry Holt,",,,,Paperback,,en,,,0.00,https://images.isbndb.com/covers/20/14/9780805062014.jpg,Success
0-380-97713-3,Body,,Bard,203,1999,"Authors, American, Authors, American--20th century--Biography, Mind and body, Somatotypes--Psychological aspects, PS135 .B63 1999, 814/.5408035",Hardcover,"Eyes / Michael Knight -- The Brain / Jacki Lyden -- Hair / Veronica Chambers -- Some Praise For A Little Right-sided Anarchy (that Is Also Tribute To The Lobe Girls) / Thylias Moss -- The Nose / Francine Prose -- Divine Teeth / Lynda Barry -- Skin / Esmeralda Santiago -- Scar Tissue / Natalie Kusz -- Breasts / Leah Hager Cohen -- Hands / Mona Simpson -- Can't You Hear My Heart Beat? / Sharon Sloan Fiffer -- The Fruit Of Thy Wombs / Thomas Lynch -- Belly, Dancing, Belly, Aching, Belly, Beasts / Jane Smiley -- The Resurrectionist / Richard Mccann -- A Note On The Dink / Ron Carlson -- The Knee Bone Is Connected / Chris Offutt -- What Anchors Us / Kyoko Mori -- The Blessings Of The Butt / Rosario Ferre. Edited By Sharon Sloan Fiffer And Steve Fiffer. An Avon Book.",en,First Edition,"Height: 8.5 Inches, Length: 6 Inches, Weight: 0.85 Pounds, Width: 1 Inches",0.00,https://images.isbndb.com/covers/71/30/9780380977130.jpg,Success
0-7868-6229-7,I Left My Back Door Open,"Sinclair, April",Hyperion,304,1999-04-28,"African Americans, African Americans--Illinois--Chicago--Fiction, African American disc jockeys, African American disc jockeys--Fiction, African American women, African American women--Fiction, African Americans--Fiction, PS3569.I5197 I16 1999, 813/.54",Hardcover,"A Black Woman Who Is Overweight And Over Forty--and Self-conscious About It--searches For Love. She Is Daphne, A Chicago Deejay, And Love Comes In The Person Of Skylar, A Man Mediating A Sexual Harassment Suit At Her Radio Station. By The Author Of Ain't Gonna Be The Same Fool Twice. April Sinclair.",en,First Edition,"Height: 9.5 Inches, Length: 6.375 Inches, Weight: 1 Pounds, Width: 1 Inches",0.00,https://images.isbndb.com/covers/22/90/9780786862290.jpg,Success
0-385-49475-0,Unafraid of the Dark: A Memoir,"Bray, Rosemary",Anchor,304,1999-03-16,,Paperback,"<p>In her deeply affecting, vividly written memoir, Rosemary L. Bray describes with remarkable frankness growing up poor in Chicago in the 1960s, and her childhood shaped by welfare, the Roman Catholic Church, and the civil rights movement.</p>
<p>Bray writes poignantly of her lasting dread of the cold and the dark that characterized her years of poverty; of her mother's extraordinary strength and resourcefulness; and of the system that miraculously enabled her mother to scrape together enough to keep the children fed and clothed. Bray's parents, held together by their ambitions for their children and painfully divided by their poverty, punctuate young Rosemary's nights with their violent fights and define her days with their struggles.</p>
<p>This powerful, ultimately inspiring book is a moving testimony of the history Bray overcame, and the racial obstacles she continues to see in her children's way.</p>",en,First Edition,"Height: 8 Inches, Length: 5.3 Inches, Weight: 0.5 pounds, Width: 0.68 Inches",15.34,https://images.isbndb.com/covers/47/55/9780385494755.jpg,Success
0-7619-3940-2,,,,,,,,,,,,,,Error
0-8263-2004-X,"Victoria Ocampo: Writer, Feminist, Woman of the World","Ocampo, Victoria, Steiner, Patricia Owen",Univ of New Mexico Pr,190,1999,"Literary Criticism, Caribbean & Latin American",Paperback,,en,,"Height: 9.25 Inches, Length: 6.5 Inches, Weight: 0.7054792384 Pounds, Width: 0.5 Inches",19.95,https://images.isbndb.com/covers/00/49/9780826320049.jpg,Success
0-300-07754-8,Mary Cassatt: A Life,"Mathews, Nancy Mowll",Yale University Press,400,1998-09-10,"Cassatt, Mary , 1844-1926, Painters, Painters--United States--Biography, ND237.C3 M28 1998, 759.13 b",Paperback,"One of the few women Impressionists, Mary Cassatt (1844-1926) had a life of paradoxes: American born, she lived and worked in France; a classically trained artist, she preferred the company of radicals; never married, she painted exquisite and beloved portraits of mothers and children. This book provides new insight into the personal life and artistic endeavors of this extraordinary woman.<br>


                        <p>135 illustrations, 50 in full color, 160 pages, 8-7/8 x 12""
</p>",en,Trade,"Height: 0.87 Inches, Length: 9.21 Inches, Weight: 1.15081300764 Pounds, Width: 6.66 Inches",19.47,https://images.isbndb.com/covers/75/44/9780300077544.jpg,Success
00-666-2921 1,,,,,,,,,,,,,,Error
0-7382-0145-6,Mayhem: Violence As Public Entertainment (1999 Printing),"Bok, Sissela",Perseus Books,194,1999-04-05,"Violence in mass media, P96.V5 B65 1998",Paperback,"While Almost Everyone Has A Strong Opinion About The Profusion Of Violence - In Film, Tv, Video Games, And On Line - Paralysis Sets In When It Comes To Action. The Issue Is Seen As A Hopeless Standoff Between Free Speech And Preserving Public Morality. In Mayhem, Sissela Bok Reframes The Issue. She Shows Us That We Have Created A False Dilemma And That We Need Not Feel So Helpless. Mayhem Lays Out The Arguments And Weighs The Evidence On Each Side: The Desensitization, Fear, And Addiction That Concern Psychologists, Pediatricians, And Religious Groups On The One Hand, And, On The Other, The Threat Of Censorship Invoked By Journalists, Civil Libertarians, And The Entertainment Industry. The Book Gives A Vivid Historical Overview Of The Debate: From Rome, To Nineteenth-century Attempts To Ban All Theater, To Censorship Of The Internet In Singapore And China, And Contrasting Views Of Figures As Diverse As Martin Scorsese, Bill Moyers, And Judge Bork.--jacket. Introduction -- Pt.1. The Paradox Of Entertainment Violence -- Feasts Of Violence -- Recoil And Recognition -- The Thrill Of The Kill -- But Movies Are Not Real -- Transforming Violence -- Pt.2. The Impact Of Media Violence -- Double Takes -- Sizing Up The Effects -- Fear -- Desensitization -- Appetite For More Violence -- Aggression -- Pt.3. Censorship -- A Perceived Dilemma -- The Will To Ban And Censor -- Geneva And The Banning Of Spectacles -- Singapore, Asian Values, And The Internet -- Journalists And Media Violence -- Adult Rights, Children's Needs, And The Law -- Pt.4. Opportunity -- Openings For Change -- Caveat Emptor -- Media Literacy --collective Action -- National Initiatives -- Notes. Includes Bibliographical References (pages 159-181) And Index.",en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.55 Pounds, Width: 0.48 Inches",0.00,https://images.isbndb.com/covers/14/50/9780738201450.jpg,Success
0-7868-6461-3,"In September, the Light Changes: The Stories of Andrew Holleran","Holleran, Andrew",Hyperion,320,1999-06-02,"Gay men--Social life and customs, Gay men--United States--Social life and customs--Fiction, Americans--Travel, Americans--Travel--Foreign countries--Fiction, Gay men, Gay men--Fiction, Americans, Americans--Foreign countries--Fiction, Social life and customs, PS3553.O3496 I5 1999, 813/.54",Hardcover,"Andrew Holleran's first novel, <em>Dancer from the Dance</em>, is recognized as a classic portrait of gay life in New York in the 1970s. His subsequent works, from <em>Nights in Aruba</em> and <em>The Beauty of Men</em> to the essays in <em>Ground Zero</em>, established Holleran as the preeminent voice in the contemporary gay literary canon. His fiction has earned comparisons to that of Guy de Maupassant, Somerset Maugham, and F. Scott Fitzgerald, and now Holleran returns with a collection of sixteen powerful short stories. Exploring the lives and times of those who have lived past the exuberance of youth, these tales make for a moving journey across landscapes of regret and loss, shame and pride, loneliness and love. With a surprising yet sensitive comic touch, Andrew Holleran has written his most mature work to date--a poignant, polished collection.<p>Like John Cheever's work, these stories are suffused with a sense of magic and the possibility of grace. --<em>San Francisco Chronicle Book Review</em></p>",en,First Edition,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.3 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/46/14/9780786864614.jpg,Success
1-58177-052-9,RHYME OF THE AG-ED MARINESS (Barrytown),"Lonidier, Lynn",Station Hill Press,112,2010-01-01,"Literary Criticism, Gay & Lesbian",Paperback,,en,First Edition,"Height: 9.01 Inches, Length: 6.02 Inches, Weight: 0.4299014109 Pounds, Width: 0.3 Inches",14.95,https://images.isbndb.com/covers/05/20/9781581770520.jpg,Success
0-921556-76-4,The Dog Wizard,"Anne Louise Macdonald, Brenda Jones",Ragweed Press / Gynergy Books,24,2000,,Paperback,,en,,,0.00,https://images.isbndb.com/covers/67/63/9780921556763.jpg,Success
0-921881-50-9,Fragment by Fragment: Feminist Perspectives on Memory and Child Sexual Abuse,Margo Rivera,Gynergy Books,335,1999-06-01,"Women--psychology, Memory, Crime Victims, Child Abuse, Sexual, Adult, Repression, Psychology, Recovered memory, Adult child sexual abuse victims, Child sexual abuse, RC569.5.A28 F73 1999, 1999 G-890, WM 193.5.R4 F811 1999, 616.85/8369",Paperback,Edited By Margo Rivera. Includes Bibliographical References.,en,Reprint,"Height: 8.48 Inches, Length: 5.5 Inches, Weight: 0.9 Pounds, Width: 0.79 Inches",29.95,https://images.isbndb.com/covers/15/06/9780921881506.jpg,Success
0-385-30796-4,,,,,,,,,,,,,,Error
1-875559-76-0,Summer Was a Fast Train Without Terminals,"Bobis, Merlinda",Spinifex Press,203,1998-07-01,,Paperback,,en,First Edition,"Height: 8 Inches, Length: 5 Inches, Weight: 0.36817197754 Pounds, Width: 0.57 Inches",13.95,https://images.isbndb.com/covers/97/63/9781875559763.jpg,Success
0-88844-130-4,Icelandic Legend of Saint Dorothy (STUDIES AND TEXTS (PONTIFICAL INST OF MEDIAEVAL STDS)),,Pontifical Institute of Mediaeval Studies,132,1997-01-01,,Hardcover,"The Legend Of Saint Dorothy. -- Saint Dorothy In The North. -- Dorotheu Saga. -- The Text. -- Appendix. Bologna, Biblioteca Universitaria Cod. 2800. Edited By Kirsten Wolf. Includes Bibliographical References (p. [108]-120) And Indexes.",en,,"Height: 9.25 Inches, Length: 6.5 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",28.5,https://images.isbndb.com/covers/13/00/9780888441300.jpg,Success
0-385-48941-2,The Trial of Radclyffe Hall,"Souhami, Diana",Doubleday,480,1999-06-15,"Hall, Radclyffe, Women authors, English, Women authors, English--20th century--Biography, Trials (Obscenity)--History, Trials (Obscenity)--Great Britain--History--20th century, Eccentrics and eccentricities, Eccentrics and eccentricities--Great Britain--Biography, Lesbians, Lesbians--Great Britain--Biography, Authors, English, Authors, English--20th century--Biography, PR6015.A33 Z86 1999, 8213/.912 B",Hardcover,"Radclyffe Hall Turned The Literary Establishment Of England Upside Down When The Well Of Loneliness Was Published. Put On Trial Under The Obscene Publications Act, She Was Spurned By The Bloomsbury Set, Including Virginia Woolf And Vita Sackville-west, Both Of Whom Once Had Lesbian Relationships Themselves. Radclyffe Hall, However, Was Always A Controversial Figure. Born In 1880, She Was An Unwanted Child Who At Age Fifteen, Upon Her Fathers Death, Inherited More Than Three Hundred Thousand Dollars. She Immediately Liberated Herself From Her Family And Began To Affect The Manners And Demeanor Of A Young Man. She Was A Political Reactionary, A Catholic Convert, A Member Of The Society For Physical Research, And An Aggressive And Successful Conqueror Of A Series Of Women As Her Lovers. This Major New Biography By Diana Souhami, Will Stand For Decades To Come As The Definitive Look At One Of The Twentieth Century's Most Intriguing Characters. Diana Souhami. Includes Bibliographical References (p. [419]-443) And Index.",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.775 Pounds, Width: 1.5 Inches",27.95,https://images.isbndb.com/covers/94/16/9780385489416.jpg,Success
0-688-17052-8,The Pact: A Love Story,"Picoult, Jodi",Harper Perennial,400,1999-05-05,,Paperback,,en,Reprint,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.8 Pounds, Width: 1 Inches",0.00,https://images.isbndb.com/covers/05/23/9780688170523.jpg,Success
0-87337-461-4,Starting And Running A Successful Newletter Or Magazine,"Woodard, Cheryl",NOLO PRESS,384,2000,"Periodicals--Publishing, Periodicals--Publishing--United States, Newsletters--Publishing, Newsletters--Publishing--United States, Z479 .W66 1998, 070.5/72",Paperback,By Cheryl Woodard. Includes Bibliographical References And Index.,en,2,"Height: 9 Inches, Length: 6.9 Inches, Weight: 1.35 Pounds, Width: 0.8 Inches",0.00,https://images.isbndb.com/covers/46/13/9780873374613.jpg,Success
1-55583-465-5,"Witness to Revolution: The Advocate Reports on Gay and Lesbian Politics, 1967 - 1999","Bull, Chris",Alyson Books,429,1999-07-01,,Paperback,"<b>An Excerpt</b>
<p class=""null1"">The Awakening: Pre- and Post-Stonewall Riots (1967-1975)</p>
<p>By the early 1970s the political establishment was beginning to take notice of the fledgling movement. In the August 16, 1972, issue, Rob Cole reported on the attempt by a spokesman for Democratic presidential candidate George McGovern to distance the liberal senator from one of the first unequivocally pro-gay statements from a national candidate. ""I hope for the day when we do not need to specify that 'Liberty and Justice for All' includes blacks, Chicanos, American Indians, women, homosexuals, or any other group,"" McGovern said. ""ALL means ALL.""</p>
<p>Despite such progress, gay life sometimes resembled a war zone. In the August 1, 1973, edition, the newspaper reported that an arson fire at the Up Stairs, a popular New Orleans gay bar, had killed 32 men. A photo depicted the charred body of a man frozen in place trying to escape the fire through a window. (The arson remains unsolved.) The same issue carried a photo of the Rev. Ray Broshears, a Metropolitan Community Church minister in San Francisco, brandishing a shotgun after announcing the formation of the ""Lavender Patrol"" to combat ""teenage attacks on homosexuals.""</p>
<p>The newspaper was not without reports of victories, some of them historic. The January 16, 1974, edition reported, in ""Sick No More,"" that the American Psychiatric Association's board of trustees had voted 13-0 to remove homosexuality from its list of mental illnesses. Psychiatrists had studied the lives of gays and lesbians and found no evidence of pathology. The decision had far-reaching ramifications, effectively placing the scientific establishment on the side of gays andlesbians. Critics, however, noted that the change came only after years of lobbying from gay activists, and they refused to countenance the science underlying the vote.</p>
<p>As the feminist saying went, the personal was political. Four years earlier, the July 21, 1970, issue had carried a report on a medical-journal article by gay rights foe Charles Socarides asserting that homosexuality is a mental illness. Socarides, the article said, believed that homosexuality ""derive[s] from a 'faulty sexual identity' caused by a 'pathological family const</p>",en,First Edition,"Height: 9.25 Inches, Length: 7.25 Inches, Weight: 1.6314207388 Pounds, Width: 1.5 Inches",16.95,https://images.isbndb.com/covers/46/54/9781555834654.jpg,Success
0-8147-9353-3,Escaping Eden: New Feminist Perspectives on the Bible,,NYU Press,296,1999-03-01,Feminist Criticism,Paperback,,en,,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 0.98 Pounds, Width: 0.6610223 Inches",27,https://images.isbndb.com/covers/35/34/9780814793534.jpg,Success
